Year,Round,Winner,Loser,Winner_Code,Loser_Code,Tm_Win,BPM_Contribution_Win,MP_Win,Winner_Bench_BPM,Tm_Lose,BPM_Contribution_Lose,MP_Lose,Loser_Bench_BPM,Efficiency_Diff
2024.0,Eastern Conf First Round,Boston Celtics,Miami Heat,BOS,MIA,BOS,-283.1,973,-0.2909558067831449,MIA,-984.3,397,-2.479345088161209,2.188389281378064
2024.0,Eastern Conf First Round,Cleveland Cavaliers,Orlando Magic,CLE,ORL,CLE,-2090.7000000000003,821,-2.54652862362972,ORL,-284.0,584,-0.4863013698630137,-2.0602272537667066
2024.0,Eastern Conf First Round,Indiana Pacers,Milwaukee Bucks,IND,MIL,IND,-386.2,1343,-0.2875651526433358,MIL,-1108.8999999999999,482,-2.300622406639004,2.013057253995668
2024.0,Eastern Conf First Round,New York Knicks,Philadelphia 76ers,NYK,PHI,NYK,-350.09999999999997,902,-0.38813747228381373,PHI,-318.9,332,-0.9605421686746988,0.5724046963908851
2024.0,Western Conf First Round,Oklahoma City Thunder,New Orleans Pelicans,OKC,NOP,OKC,670.0000000000001,749,0.8945260347129508,NOP,-288.7,270,-1.0692592592592591,1.9637852939722098
2024.0,Western Conf First Round,Dallas Mavericks,Los Angeles Clippers,DAL,LAC,DAL,1275.1,1626,0.7841943419434194,LAC,-1049.0,395,-2.6556962025316455,3.439890544475065
2024.0,Western Conf First Round,Minnesota Timberwolves,Phoenix Suns,MIN,PHO,MIN,-92.70000000000007,1147,-0.08081952920662605,PHO,-741.9,222,-3.341891891891892,3.261072362685266
2024.0,Western Conf First Round,Denver Nuggets,Los Angeles Lakers,DEN,LAL,DEN,-2774.5,629,-4.410969793322734,LAL,-1143.9,277,-4.129602888086643,-0.28136690523609165
2024.0,Eastern Conf Semifinals,Indiana Pacers,New York Knicks,IND,NYK,IND,-386.2,1343,-0.2875651526433358,NYK,-350.09999999999997,902,-0.38813747228381373,0.10057231964047791
2024.0,Western Conf Semifinals,Dallas Mavericks,Oklahoma City Thunder,DAL,OKC,DAL,1275.1,1626,0.7841943419434194,OKC,670.0000000000001,749,0.8945260347129508,-0.11033169276953136
2024.0,Western Conf Semifinals,Minnesota Timberwolves,Denver Nuggets,MIN,DEN,MIN,-92.70000000000007,1147,-0.08081952920662605,DEN,-2774.5,629,-4.410969793322734,4.330150264116108
2024.0,Eastern Conf Semifinals,Boston Celtics,Cleveland Cavaliers,BOS,CLE,BOS,-283.1,973,-0.2909558067831449,CLE,-2090.7000000000003,821,-2.54652862362972,2.255572816846575
2024.0,Eastern Conf Finals,Boston Celtics,Indiana Pacers,BOS,IND,BOS,-283.1,973,-0.2909558067831449,IND,-386.2,1343,-0.2875651526433358,-0.0033906541398091017
2024.0,Western Conf Finals,Dallas Mavericks,Minnesota Timberwolves,DAL,MIN,DAL,1275.1,1626,0.7841943419434194,MIN,-92.70000000000007,1147,-0.08081952920662605,0.8650138711500455
2024.0,Finals,Boston Celtics,Dallas Mavericks,BOS,DAL,BOS,-283.1,973,-0.2909558067831449,DAL,1275.1,1626,0.7841943419434194,-1.0751501487265642
2023.0,Eastern Conf First Round,Miami Heat,Milwaukee Bucks,MIA,MIL,MIA,2483.1,2123,1.1696184644371173,MIL,-157.2000000000001,437,-0.35972540045766616,1.5293438648947835
2023.0,Eastern Conf First Round,New York Knicks,Cleveland Cavaliers,NYK,CLE,NYK,-142.30000000000007,951,-0.14963196635120932,CLE,-484.5999999999999,258,-1.8782945736434105,1.7286626072922011
2023.0,Eastern Conf First Round,Philadelphia 76ers,Brooklyn Nets,PHI,BRK,PHI,-851.4999999999999,793,-1.0737704918032784,BRK,-1529.1999999999998,275,-5.560727272727272,4.486956780923993
2023.0,Eastern Conf First Round,Boston Celtics,Atlanta Hawks,BOS,ATL,BOS,1071.7999999999997,1386,0.7733044733044732,ATL,468.20000000000005,481,0.9733887733887735,-0.20008430008430034
2023.0,Western Conf First Round,Denver Nuggets,Minnesota Timberwolves,DEN,MIN,DEN,-1366.7999999999997,1200,-1.1389999999999998,MIN,-1334.8999999999999,339,-3.9377581120943947,2.798758112094395
2023.0,Western Conf First Round,Phoenix Suns,Los Angeles Clippers,PHO,LAC,PHO,-1919.2999999999997,818,-2.346332518337408,LAC,171.00000000000003,321,0.5327102803738318,-2.87904279871124
2023.0,Western Conf First Round,Golden State Warriors,Sacramento Kings,GSW,SAC,GSW,-332.0,1024,-0.32421875,SAC,381.5,594,0.6422558922558923,-0.9664746422558923
2023.0,Western Conf First Round,Los Angeles Lakers,Memphis Grizzlies,LAL,MEM,LAL,-1418.4999999999998,1339,-1.0593726661687826,MEM,321.20000000000005,477,0.6733752620545075,-1.73274792822329
2023.0,Eastern Conf Semifinals,Miami Heat,New York Knicks,MIA,NYK,MIA,2483.1,2123,1.1696184644371173,NYK,-142.30000000000007,951,-0.14963196635120932,1.3192504307883266
2023.0,Eastern Conf Semifinals,Boston Celtics,Philadelphia 76ers,BOS,PHI,BOS,1071.7999999999997,1386,0.7733044733044732,PHI,-851.4999999999999,793,-1.0737704918032784,1.8470749651077516
2023.0,Western Conf Semifinals,Denver Nuggets,Phoenix Suns,DEN,PHO,DEN,-1366.7999999999997,1200,-1.1389999999999998,PHO,-1919.2999999999997,818,-2.346332518337408,1.2073325183374082
2023.0,Western Conf Semifinals,Los Angeles Lakers,Golden State Warriors,LAL,GSW,LAL,-1418.4999999999998,1339,-1.0593726661687826,GSW,-332.0,1024,-0.32421875,-0.7351539161687826
2023.0,Western Conf Finals,Denver Nuggets,Los Angeles Lakers,DEN,LAL,DEN,-1366.7999999999997,1200,-1.1389999999999998,LAL,-1418.4999999999998,1339,-1.0593726661687826,-0.07962733383121723
2023.0,Eastern Conf Finals,Miami Heat,Boston Celtics,MIA,BOS,MIA,2483.1,2123,1.1696184644371173,BOS,1071.7999999999997,1386,0.7733044733044732,0.3963139911326441
2023.0,Finals,Denver Nuggets,Miami Heat,DEN,MIA,DEN,-1366.7999999999997,1200,-1.1389999999999998,MIA,2483.1,2123,1.1696184644371173,-2.3086184644371173
2022.0,Eastern Conf First Round,Milwaukee Bucks,Chicago Bulls,MIL,CHI,MIL,-902.5,1221,-0.7391482391482391,CHI,-2039.0,398,-5.123115577889447,4.383967338741208
2022.0,Western Conf First Round,Memphis Grizzlies,Minnesota Timberwolves,MEM,MIN,MEM,1991.0,1195,1.6661087866108786,MIN,594.8,472,1.2601694915254236,0.405939295085455
2022.0,Eastern Conf First Round,Boston Celtics,Brooklyn Nets,BOS,BRK,BOS,65.79999999999995,1889,0.034833245103229195,BRK,843.5999999999999,281,3.0021352313167258,-2.9673019862134966
2022.0,Western Conf First Round,Golden State Warriors,Denver Nuggets,GSW,DEN,GSW,2883.6,1807,1.5957941339236303,DEN,-629.9999999999998,428,-1.4719626168224293,3.0677567507460597
2022.0,Western Conf First Round,Dallas Mavericks,Utah Jazz,DAL,UTA,DAL,1146.2000000000003,1495,0.7666889632107026,UTA,692.3,437,1.5842105263157893,-0.8175215631050867
2022.0,Eastern Conf First Round,Philadelphia 76ers,Toronto Raptors,PHI,TOR,PHI,615.1999999999999,740,0.8313513513513513,TOR,-596.9000000000001,454,-1.3147577092511016,2.146109060602453
2022.0,Western Conf First Round,Phoenix Suns,New Orleans Pelicans,PHO,NOP,PHO,-153.1999999999999,1026,-0.1493177387914229,NOP,466.5,487,0.9579055441478439,-1.1072232829392668
2022.0,Eastern Conf First Round,Miami Heat,Atlanta Hawks,MIA,ATL,MIA,-1313.9,1750,-0.7508,ATL,911.7,411,2.218248175182482,-2.9690481751824818
2022.0,Eastern Conf Semifinals,Boston Celtics,Milwaukee Bucks,BOS,MIL,BOS,65.79999999999995,1889,0.034833245103229195,MIL,-902.5,1221,-0.7391482391482391,0.7739814842514683
2022.0,Eastern Conf Semifinals,Miami Heat,Philadelphia 76ers,MIA,PHI,MIA,-1313.9,1750,-0.7508,PHI,615.1999999999999,740,0.8313513513513513,-1.5821513513513512
2022.0,Western Conf Semifinals,Dallas Mavericks,Phoenix Suns,DAL,PHO,DAL,1146.2000000000003,1495,0.7666889632107026,PHO,-153.1999999999999,1026,-0.1493177387914229,0.9160067020021254
2022.0,Western Conf Semifinals,Golden State Warriors,Memphis Grizzlies,GSW,MEM,GSW,2883.6,1807,1.5957941339236303,MEM,1991.0,1195,1.6661087866108786,-0.07031465268724824
2022.0,Western Conf Finals,Golden State Warriors,Dallas Mavericks,GSW,DAL,GSW,2883.6,1807,1.5957941339236303,DAL,1146.2000000000003,1495,0.7666889632107026,0.8291051707129278
2022.0,Eastern Conf Finals,Boston Celtics,Miami Heat,BOS,MIA,BOS,65.79999999999995,1889,0.034833245103229195,MIA,-1313.9,1750,-0.7508,0.7856332451032292
2022.0,Finals,Golden State Warriors,Boston Celtics,GSW,BOS,GSW,2883.6,1807,1.5957941339236303,BOS,65.79999999999995,1889,0.034833245103229195,1.5609608888204012
2021.0,Eastern Conf First Round,Milwaukee Bucks,Miami Heat,MIL,MIA,MIL,-755.4999999999999,1520,-0.4970394736842105,MIA,-316.8,289,-1.0961937716262977,0.5991542979420872
2021.0,Western Conf First Round,Los Angeles Clippers,Dallas Mavericks,LAC,DAL,LAC,-103.49999999999993,1571,-0.06588160407383828,DAL,-490.6,363,-1.3515151515151516,1.2856335474413132
2021.0,Eastern Conf First Round,Brooklyn Nets,Boston Celtics,BRK,BOS,BRK,-1323.1,1022,-1.2946183953033268,BOS,-330.9,333,-0.9936936936936936,-0.30092470160963314
2021.0,Western Conf First Round,Denver Nuggets,Portland Trail Blazers,DEN,POR,DEN,1123.2,899,1.2493882091212458,POR,-734.3000000000001,384,-1.9122395833333334,3.1616277924545795
2021.0,Eastern Conf First Round,Philadelphia 76ers,Washington Wizards,PHI,WAS,PHI,-1532.3,1104,-1.3879528985507246,WAS,-718.2000000000002,384,-1.8703125000000005,0.4823596014492759
2021.0,Western Conf First Round,Utah Jazz,Memphis Grizzlies,UTA,MEM,UTA,-2302.8999999999996,643,-3.5814930015552093,MEM,-882.5,378,-2.3346560846560847,-1.2468369168991247
2021.0,Eastern Conf First Round,Atlanta Hawks,New York Knicks,ATL,NYK,ATL,-191.20000000000005,1264,-0.15126582278481016,NYK,116.19999999999999,370,0.314054054054054,-0.46531987683886417
2021.0,Western Conf First Round,Phoenix Suns,Los Angeles Lakers,PHO,LAL,PHO,2151.9,1473,1.4608961303462322,LAL,-1456.2000000000003,625,-2.3299200000000004,3.790816130346233
2021.0,Eastern Conf Semifinals,Milwaukee Bucks,Brooklyn Nets,MIL,BRK,MIL,-755.4999999999999,1520,-0.4970394736842105,BRK,-1323.1,1022,-1.2946183953033268,0.7975789216191163
