Year,Round,TeamA,TeamB,TeamA_Bench_VORP,TeamB_Bench_VORP,Diff_VORP,Diff_BPM,Diff_PPG,Target_Win
2024.0,Eastern Conf First Round,MIA,BOS,0.0,0.0333333333333333,-0.0333333333333333,-2.188389281378064,4.687368421052631,0
2024.0,Eastern Conf First Round,CLE,ORL,3.9650822308041295e-18,0.02,-0.0199999999999999,-2.0602272537667066,-2.736904761904763,1
2024.0,Eastern Conf First Round,IND,MIL,0.0555555555555555,0.0111111111111111,0.0444444444444444,2.013057253995668,-2.183333333333334,1
2024.0,Eastern Conf First Round,NYK,PHI,0.0444444444444444,0.04,0.0044444444444444,0.5724046963908851,0.3115384615384617,1
2024.0,Western Conf First Round,NOP,OKC,0.0,0.075,-0.075,-1.9637852939722096,2.8699999999999997,0
2024.0,Western Conf First Round,LAC,DAL,0.0,0.12,-0.12,-3.439890544475065,3.671212121212122,0
2024.0,Western Conf First Round,PHO,MIN,0.0,0.0699999999999999,-0.0699999999999999,-3.261072362685266,2.9124999999999996,0
2024.0,Western Conf First Round,DEN,LAL,-0.0444444444444444,-0.05,0.0055555555555555,-0.2813669052360916,-0.6783333333333335,1
2024.0,Eastern Conf Semifinals,IND,NYK,0.0555555555555555,0.0444444444444444,0.0111111111111111,0.1005723196404779,-1.261538461538462,1
2024.0,Western Conf Semifinals,DAL,OKC,0.12,0.075,0.045,-0.1103316927695313,-0.7845454545454544,1
2024.0,Western Conf Semifinals,DEN,MIN,-0.0444444444444444,0.0699999999999999,-0.1144444444444444,-4.330150264116108,-0.2708333333333337,0
2024.0,Eastern Conf Semifinals,BOS,CLE,0.0333333333333333,3.9650822308041295e-18,0.0333333333333333,2.255572816846575,-1.139035087719298,1
2024.0,Eastern Conf Finals,BOS,IND,0.0333333333333333,0.0555555555555555,-0.0222222222222222,-0.0033906541398091,-1.0473684210526313,1
2024.0,Western Conf Finals,MIN,DAL,0.0699999999999999,0.12,-0.05,-0.8650138711500455,0.5670454545454546,0
2024.0,Finals,DAL,BOS,0.12,0.0333333333333333,0.0866666666666666,1.0751501487265642,0.2928229665071771,0
2023.0,Eastern Conf First Round,MIL,MIA,0.02,0.2222222222222222,-0.2022222222222222,-1.5293438648947837,6.282608695652174,0
2023.0,Eastern Conf First Round,CLE,NYK,0.0,0.0571428571428571,-0.0571428571428571,-1.7286626072922011,1.521818181818182,0
2023.0,Eastern Conf First Round,PHI,BRK,0.0199999999999999,-0.0333333333333333,0.0533333333333333,4.486956780923993,-4.115909090909091,1
2023.0,Eastern Conf First Round,ATL,BOS,0.08,0.1111111111111111,-0.0311111111111111,0.2000843000843003,3.4833333333333334,0
2023.0,Western Conf First Round,MIN,DEN,-0.025,0.02,-0.045,-2.798758112094395,3.42,0
2023.0,Western Conf First Round,PHO,LAC,-0.0125,0.0285714285714285,-0.0410714285714285,-2.87904279871124,-2.7709090909090905,1
2023.0,Western Conf First Round,SAC,GSW,0.05,0.05,-0.0,0.9664746422558924,3.638461538461538,0
2023.0,Western Conf First Round,MEM,LAL,0.0571428571428571,0.03,0.0271428571428571,1.73274792822329,2.0604166666666663,0
2023.0,Eastern Conf Semifinals,NYK,MIA,0.0571428571428571,0.2222222222222222,-0.165079365079365,-1.3192504307883266,0.6007905138339922,0
2023.0,Eastern Conf Semifinals,PHI,BOS,0.0199999999999999,0.1111111111111111,-0.0911111111111111,-1.8470749651077516,0.7090909090909092,0
2023.0,Western Conf Semifinals,DEN,PHO,0.02,-0.0125,0.0325,1.2073325183374082,-1.529090909090909,1
2023.0,Western Conf Semifinals,GSW,LAL,0.05,0.03,0.0199999999999999,0.7351539161687826,0.5052884615384614,0
2023.0,Western Conf Finals,DEN,LAL,0.02,0.03,-0.01,-0.0796273338312172,-1.0762500000000002,1
2023.0,Eastern Conf Finals,MIA,BOS,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.3963139911326441,0.4173913043478261,1
2023.0,Finals,MIA,DEN,0.2222222222222222,0.02,0.2022222222222222,2.3086184644371173,0.937391304347826,0
2022.0,Eastern Conf First Round,MIL,CHI,0.04,-0.0571428571428571,0.0971428571428571,4.383967338741208,-2.5549999999999993,1
2022.0,Western Conf First Round,MIN,MEM,0.05,0.1571428571428571,-0.1071428571428571,-0.405939295085455,3.516666666666666,0
2022.0,Eastern Conf First Round,BRK,BOS,0.0428571428571428,0.09,-0.0471428571428571,2.9673019862134966,6.554166666666667,0
2022.0,Western Conf First Round,GSW,DEN,0.1777777777777777,0.0,0.1777777777777777,3.0677567507460597,-5.172727272727273,1
2022.0,Western Conf First Round,DAL,UTA,0.1111111111111111,0.0714285714285714,0.0396825396825396,-0.8175215631050867,-3.3833333333333337,1
